4nic9, standard removes, 1, 4, 2369793.7840400194, 17.526710172, 0, 169, 56, 251, 170, 288, 218, 321, 264, 475
5nic9, standard removes, 1, 5, 2318333.3330803453, 33.606853364, 0, 192, 27, 306, 158, 321, 203, 323, 252, 503
6nic9, standard removes, 1, 6, 2347862.261178179, 29.592562974, 0, 123, 27, 301, 154, 314, 203, 324, 249, 500
7nic9, standard removes, 1, 7, 2346340.8030422362, 65.37663852, 0, 170, 47, 218, 154, 306, 180, 292, 245, 501
8nic9, standard removes, 1, 8, 2319326.808349234, 172.141566211, 0, 179, 106, 300, 163, 314, 268, 316, 255, 501
9nic9, standard removes, 1, 9, 2354087.387893653, 516.626986596, 0, 215, 10, 230, 161, 325, 156, 304, 252, 508
2nic10, standard removes, 1, 2, 2325094.321794275, 17.454075607, 0, 176, 126, 299, 165, 313, 251, 323, 258, 496
3nic10, standard removes, 1, 3, 2288782.963550773, 16.803213996, 0, 205, 16, 176, 152, 310, 143, 314, 245, 494
4nic10, standard removes, 1, 4, 2353959.731881531, 25.064793527, 3, 204, 0, 166, 177, 336, 126, 322, 271, 518
5nic10, standard removes, 1, 5, 2319731.018918844, 25.202382232, 0, 162, 46, 221, 151, 283, 177, 295, 243, 478
6nic10, standard removes, 1, 6, 2358350.1902862852, 23.876399119, 0, 167, 13, 231, 159, 294, 189, 322, 258, 481
7nic10, standard removes, 1, 7, 2351362.278145089, 80.492668521, 0, 149, 56, 221, 152, 263, 190, 291, 245, 460
8nic10, standard removes, 1, 8, 2374696.3350178422, 123.624652296, 0, 192, 87, 303, 159, 331, 219, 323, 250, 516
9nic10, standard removes, 1, 9, 2405400.39850658, 197.524396309, 0, 97, 42, 223, 175, 316, 183, 326, 272, 508
2nic11, standard removes, 1, 2, 2296748.7232803516, 18.282264385, 0, 176, 78, 234, 151, 291, 203, 307, 245, 484
3nic11, standard removes, 1, 3, 2324896.33897798, 13.049407956, 0, 129, 19, 228, 151, 274, 186, 313, 244, 480
4nic11, standard removes, 1, 4, 2321126.2347778575, 13.291742591, 3, 175, 0, 224, 157, 304, 193, 317, 251, 499
5nic11, standard removes, 1, 5, 2346957.391603495, 25.603856237, 0, 160, 23, 241, 158, 279, 185, 324, 254, 471
6nic11, standard removes, 1, 6, 2338426.7300824267, 42.399552439, 5, 180, 0, 239, 170, 325, 138, 332, 263, 507
7nic11, standard removes, 1, 7, 2327932.8557838504, 44.624707707, 3, 141, 0, 217, 161, 313, 162, 320, 253, 500
8nic11, standard removes, 1, 8, 2373226.959228843, 117.255892062, 0, 126, 25, 240, 167, 289, 199, 317, 260, 478
9nic11, standard removes, 1, 9, 2310881.831628173, 193.967107757, 0, 182, 49, 223, 151, 305, 183, 297, 246, 492
2nic12, standard removes, 1, 2, 2296509.1313461466, 12.24857712, 0, 197, 46, 222, 154, 307, 185, 308, 247, 488
3nic12, standard removes, 1, 3, 2301509.4780530687, 21.785760259, 0, 113, 40, 229, 155, 312, 185, 315, 247, 497
4nic12, standard removes, 1, 4, 2336108.407085652, 23.63058462, 0, 179, 20, 218, 152, 287, 182, 294, 246, 487
5nic12, standard removes, 1, 5, 2396733.3639157633, 20.826021673, 0, 152, 48, 266, 182, 305, 195, 342, 276, 495
6nic12, standard removes, 1, 6, 2393679.1850686846, 29.262066611, 0, 159, 35, 226, 178, 305, 196, 318, 270, 511
7nic12, standard removes, 1, 7, 2315252.148269414, 75.367539106, 0, 121, 83, 268, 156, 296, 205, 315, 247, 491
8nic12, standard removes, 1, 8, 2374707.3491577283, 111.882348058, 0, 145, 65, 244, 159, 287, 213, 321, 262, 487
9nic12, standard removes, 1, 9, 2367785.4830787475, 345.352060524, 4, 166, 0, 252, 171, 315, 125, 324, 265, 497
2nic13, standard removes, 1, 2, 2327627.935803226, 9.142300011, 0, 145, 65, 276, 161, 305, 214, 314, 252, 496
3nic13, standard removes, 1, 3, 2337546.4312238274, 13.881386638, 0, 115, 62, 236, 162, 323, 196, 297, 254, 504
4nic13, standard removes, 1, 4, 2327619.6903475584, 12.766927673, 0, 202, 55, 228, 170, 318, 188, 328, 262, 506
5nic13, standard removes, 1, 5, 2344002.592381642, 66.29990784, 0, 128, 50, 231, 162, 312, 171, 330, 260, 497
6nic13, standard removes, 1, 6, 2356660.7742772866, 49.183617816, 0, 131, 107, 311, 151, 302, 257, 322, 244, 484
7nic13, standard removes, 1, 7, 2356922.724825805, 38.752584827, 0, 151, 7, 202, 173, 329, 138, 326, 265, 514
8nic13, standard removes, 1, 8, 2305278.540746867, 99.51314981, 0, 150, 59, 217, 157, 310, 182, 321, 248, 497
9nic13, standard removes, 1, 9, 2385037.447293382, 181.551499972, 0, 159, 68, 243, 153, 315, 212, 271, 247, 502
2nic14, standard removes, 1, 2, 2302716.4580994975, 14.891385562, 0, 184, 55, 223, 159, 322, 187, 324, 250, 504
3nic14, standard removes, 1, 3, 2300528.8307775436, 15.551801466, 0, 168, 34, 228, 151, 291, 185, 311, 244, 472
4nic14, standard removes, 1, 4, 2341350.4985761554, 22.590110042, 3, 147, 0, 216, 160, 303, 172, 318, 254, 487
5nic14, standard removes, 1, 5, 2309851.8974591773, 42.911421083, 0, 173, 48, 290, 158, 313, 216, 317, 250, 496
6nic14, standard removes, 1, 6, 2338887.8056146624, 30.389485542, 0, 194, 90, 276, 163, 296, 226, 319, 257, 484
7nic14, standard removes, 1, 7, 2368046.9108444084, 86.643997796, 0, 208, 34, 259, 172, 341, 167, 333, 269, 522
8nic14, standard removes, 1, 8, 2365624.011257134, 79.249144817, 0, 185, 93, 274, 174, 296, 214, 325, 265, 477
